usuario,operando1,operando2,operador,resultado,fecha
diego,343.0,2.0,/,171.5,2025-06-30 23:00:13
diego,4444.0,332.0,-,4112.0,2025-06-30 23:02:02
emilio,33.0,22.0,-,11.0,2025-06-30 23:04:39
emilio,232.0,-4.0,-,236.0,2025-06-30 23:05:03
diego,45.0,34.0,-,11.0,2025-06-30 23:17:15
diego,443.0,33.0,-,410.0,2025-07-01 01:32:44
diego,323.0,-98.0,*,-31654.0,2025-07-01 01:32:57
diego,434.0,55.0,+,489.0,2025-07-01 01:33:10
emilio,44.0,3.0,+,47.0,2025-07-01 01:33:29
emilio,22.0,-3.0,-,25.0,2025-07-01 01:33:37
emilio,33.0,666.0,/,0.0495495495495495,2025-07-01 01:33:54
emilio,33.0,654.0,+,687.0,2025-07-01 01:34:10
emilio,543.0,665.0,*,361095.0,2025-07-01 01:34:21
jose,445.0,33.0,/,13.484848484848484,2025-07-01 01:43:52
jose,33.0,2.0,/,16.5,2025-07-01 01:44:31
mariano,455.0,43.0,/,10.581395348837209,2025-07-01 02:10:43
mariano,322.0,3.0,*,966.0,2025-07-01 02:11:44
mariano,343.0,32.0,-,311.0,2025-07-01 02:12:04
juan cuesta,23.0,2.0,-,21.0,2025-07-01 02:13:02
